Timestamp,Temperature,Humidity,Cloud_Cover,Wind_Speed,Power_Output
2025-01-01 00:00:00,26.24,54.29,73.0,15.95,0.0
2025-01-01 00:15:00,43.52,51.64,18.45,11.48,10.58
2025-01-01 00:30:00,36.96,41.45,34.66,24.11,0.0
2025-01-01 00:45:00,32.96,69.47,66.33,5.47,0.0
2025-01-01 01:00:00,19.68,60.98,48.21,14.7,0.0
2025-01-01 01:15:00,19.68,86.27,73.86,17.51,0.0
2025-01-01 01:30:00,16.74,32.09,96.12,20.64,0.0
2025-01-01 01:45:00,40.99,71.85,11.65,10.17,0.0
2025-01-01 02:00:00,33.03,79.59,70.96,17.17,0.0
2025-01-01 02:15:00,36.24,79.37,23.03,7.58,0.0
2025-01-01 02:30:00,15.62,87.59,41.45,10.89,0.0
2025-01-01 02:45:00,44.1,77.39,3.29,22.39,49.16
2025-01-01 03:00:00,39.97,90.31,13.59,23.75,8.53
2025-01-01 03:15:00,21.37,51.62,31.98,17.97,0.0
2025-01-01 03:30:00,20.45,62.71,34.2,9.36,0.0
2025-01-01 03:45:00,20.5,30.92,89.96,20.5,0.0
2025-01-01 04:00:00,24.13,30.45,74.18,0.65,0.0
2025-01-01 04:15:00,30.74,45.61,97.22,2.57,0.0
2025-01-01 04:30:00,27.96,36.55,59.91,16.53,0.0
2025-01-01 04:45:00,23.74,46.91,24.17,7.28,0.0
2025-01-01 05:00:00,33.36,41.51,32.77,23.78,0.0
2025-01-01 05:15:00,19.18,31.85,31.98,10.9,0.0
2025-01-01 05:30:00,23.76,89.1,32.65,10.73,0.0
2025-01-01 05:45:00,25.99,30.53,67.3,16.95,0.0
2025-01-01 06:00:00,28.68,77.85,53.08,19.19,0.0
2025-01-01 06:15:00,38.56,39.89,38.54,11.89,12.55
2025-01-01 06:30:00,20.99,89.29,14.91,5.35,46.72
2025-01-01 06:45:00,30.43,88.03,2.21,19.33,102.03
2025-01-01 07:00:00,32.77,72.5,21.88,8.01,92.52
2025-01-01 07:15:00,16.39,73.7,10.75,4.38,171.18
2025-01-01 07:30:00,33.23,30.35,78.54,15.79,77.35
2025-01-01 07:45:00,20.12,94.02,11.25,2.26,173.8
2025-01-01 08:00:00,16.95,87.06,72.42,24.28,174.68
2025-01-01 08:15:00,43.47,88.18,38.57,15.81,253.8
2025-01-01 08:30:00,43.97,72.85,7.34,24.65,319.72
2025-01-01 08:45:00,39.25,52.41,81.27,8.47,253.62
2025-01-01 09:00:00,24.14,88.09,57.96,24.28,292.88
2025-01-01 09:15:00,17.93,48.95,23.58,3.64,329.22
2025-01-01 09:30:00,35.53,66.58,89.47,1.02,277.65
2025-01-01 09:45:00,28.2,36.48,4.53,0.82,445.4
2025-01-01 10:00:00,18.66,89.93,20.18,11.62,391.71
2025-01-01 10:15:00,29.86,39.15,75.2,2.08,364.98
2025-01-01 10:30:00,16.03,44.62,70.94,12.8,389.16
2025-01-01 10:45:00,42.28,66.28,28.93,8.19,429.13
2025-01-01 11:00:00,22.76,79.67,6.2,8.39,476.15
2025-01-01 11:15:00,34.88,70.26,85.81,15.89,394.32
2025-01-01 11:30:00,24.35,45.09,31.37,4.08,439.52
2025-01-01 11:45:00,30.6,30.06,19.57,19.16,498.91
2025-01-01 12:00:00,31.4,79.21,51.61,14.55,459.45
2025-01-01 12:15:00,20.55,94.04,91.02,22.87,359.71
2025-01-01 12:30:00,44.09,82.64,4.35,9.12,499.6
2025-01-01 12:45:00,38.25,59.91,76.58,24.57,432.7
2025-01-01 13:00:00,43.18,88.74,57.25,14.4,436.16
2025-01-01 13:15:00,41.84,56.64,42.54,24.34,454.0
2025-01-01 13:30:00,32.94,64.12,74.41,0.68,369.48
